geo_name,year,perc_births_attended
Ghana,2008,57.1
Hungary,2008,99.5
India,2008,52.7
Indonesia,2008,74.86
Jamaica,2008,98
Kazakhstan,2008,99.8
Kiribati,2008,65
Kyrgyzstan,2008,98.5
Libya,2008,99.8
"Macedonia, FYR",2008,99.7
"Micronesia, Fed. Sts.",2008,92
Moldova,2008,99.5
Mongolia,2008,99.4
Mozambique,2008,55.3
Nigeria,2008,38.9
Palau,2008,100
Paraguay,2008,81.9
Philippines,2008,62.2
Romania,2008,98.7
Russia,2008,99.6
Rwanda,2008,52.1
Saint Kitts and Nevis,2008,100
Saint Vincent and the Grenadines,2008,99.2
Saudi Arabia,2008,97
Sierra Leone,2008,42.4
Slovak Republic,2008,99.5
Slovenia,2008,99.9
Tonga,2008,98
Turkey,2008,91.3
United Arab Emirates,2008,100
Albania,2009,99.3
Argentina,2009,97.9
Bangladesh,2009,24.4
Belarus,2009,99.9
Brunei,2009,99.9
Bulgaria,2009,99.6
Central African Republic,2009,43.7
China,2009,99.3
Costa Rica,2009,99.17
Croatia,2009,99.9
Cuba,2009,99.9
Czech Rep.,2009,99.9
Georgia,2009,99.9
Guatemala,2009,51.4
Guyana,2009,91.9
Hungary,2009,99.6
Kenya,2009,43.8
"Korea, Dem. Rep.",2009,100
Kyrgyzstan,2009,98.5
Lesotho,2009,61.5
"Macedonia, FYR",2009,99.8
Madagascar,2009,43.9
Maldives,2009,94.8
Mexico,2009,95.3
Moldova,2009,99.7
Oman,2009,99
Panama,2009,88.5
Peru,2009,82.5
Qatar,2009,100
Romania,2009,98.5
Russia,2009,99.7
Samoa,2009,80.8
Sao Tome and Principe,2009,81.7
Slovak Republic,2009,99.5
Slovenia,2009,99.9
Syria,2009,96.2
Tajikistan,2009,83
Thailand,2009,99.4
Turkey,2009,95
Uruguay,2009,99.7
Zimbabwe,2009,60.2
Armenia,2010,99.5
Bangladesh,2010,26.5
Bhutan,2010,64.5
Burundi,2010,60.3
Cambodia,2010,71
Chad,2010,22.6759730167
Colombia,2010,97.7
"Congo, Dem. Rep.",2010,79.3
Costa Rica,2010,99.26
Croatia,2010,100
Cuba,2010,99.9
Gambia,2010,56.7
Guinea-Bissau,2010,44
Indonesia,2010,82.2
Laos,2010,37
Mongolia,2010,99.8
Peru,2010,83.8
Rwanda,2010,69
Swaziland,2010,82
Tanzania,2010,48.9
Timor-Leste,2010,29.3
Togo,2010,60.1
